txn_id,branch,city,amount,transaction_type,status,timestamp
T812952,Branch 4,Bangalore,2716.96,Deposit,Failed,2025-04-06 01:05:33.788771
T297974,Branch 4,Bangalore,822.94,Failed,Success,2025-04-07 22:35:27.521728
,Branch 4,Bangalore,,Transfer,Success,2025-04-02 09:39:33.230796
,Branch 4,Bangalore,2199.22,,Success,2025-04-06 13:25:06.593234
,Branch 4,Bangalore,3860.08,Deposit,Success,2025-04-05 23:27:29.692147
T963257,Branch 4,Bangalore,4957.85,Deposit,Success,2025-04-02 12:43:18.189750
T846067,Branch 4,Bangalore,1741.44,Failed,Success,2025-04-04 07:36:25.469406
T391413,Branch 4,Bangalore,4929.25,Failed,Failed,2025-04-07 22:11:47.852821
T686591,,Bangalore,,Failed,Success,2025-04-04 09:10:10.075600
T399390,Branch 4,Bangalore,,Withdrawal,Failed,2025-04-03 23:57:50.781059
,Branch 4,Bangalore,3949.5,Transfer,Failed,2025-04-03 19:47:49.699469
T680709,Branch 4,Bangalore,217.97,Withdrawal,Failed,2025-04-05 05:55:37.630688
T318601,,Bangalore,2209.11,Deposit,Success,2025-04-01 09:06:56.751002
T533135,Branch 4,Bangalore,3497.28,Failed,Success,2025-04-06 02:43:30.306831
T164301,Branch 4,Bangalore,205.55,Transfer,Success,2025-04-07 13:31:29.322241
T596775,Branch 4,Bangalore,2970.47,Withdrawal,Failed,2025-04-05 16:34:10.802508
T421101,Branch 4,Bangalore,2602.66,Withdrawal,Failed,2025-04-01 18:55:38.541620
T106656,Branch 4,Bangalore,4684.14,Deposit,Failed,2025-04-05 03:22:05.928738
T735427,Branch 4,Bangalore,3292.28,,Success,2025-04-06 02:45:14.449111
T365752,Branch 4,Bangalore,1708.29,Withdrawal,Failed,
T220225,Branch 4,Bangalore,2516.97,Failed,Success,2025-04-04 13:56:56.404018
T517826,Branch 4,Bangalore,,Deposit,,2025-04-06 10:48:45.921195
T304984,Branch 4,Bangalore,3304.82,Transfer,Success,2025-04-01 05:17:40.140083
T979091,,Bangalore,357.13,Withdrawal,Success,2025-04-01 08:01:37.633602
T161531,Branch 4,Bangalore,2798.9,Transfer,,2025-04-01 09:42:45.748491
T171712,Branch 4,Bangalore,3757.31,Deposit,Success,2025-04-01 18:51:55.696633
T257418,Branch 4,Bangalore,1599.38,Transfer,Failed,2025-04-06 10:22:04.366700
T317071,Branch 4,Bangalore,4763.15,,Success,2025-04-04 01:29:52.345907
T742250,Branch 4,Bangalore,1886.91,Failed,Success,2025-04-03 22:31:04.149805
T800024,Branch 4,Bangalore,2392.76,Failed,Success,2025-04-03 13:29:38.653214
T909992,Branch 4,Bangalore,3513.71,Transfer,Failed,2025-04-06 22:04:06.150509
