txn_id,branch,city,amount,transaction_type,status,timestamp
T307156,Branch 4,Delhi,3320.93,Transfer,Failed,2025-04-03 10:26:37.691509
T388363,Branch 4,Delhi,1306.92,Transfer,Success,2025-04-07 12:30:39.998139
T808600,Branch 4,Delhi,4661.42,Withdrawal,Failed,2025-04-02 00:43:29.931562
T649151,Branch 4,Delhi,,Deposit,Failed,2025-04-04 01:33:35.759694
T639501,Branch 4,Delhi,1528.95,Deposit,Success,2025-04-07 02:52:14.518772
T806378,Branch 4,Delhi,1399.28,Withdrawal,Success,2025-04-05 15:28:20.817318
T855308,Branch 4,Delhi,240.93,Withdrawal,Success,2025-04-05 15:01:04.514764
T969359,,Delhi,4622.72,Transfer,Success,2025-04-05 01:05:40.935715
,Branch 4,Delhi,,Transfer,,2025-04-05 14:35:02.180658
T172104,Branch 4,Delhi,3320.67,Transfer,Success,2025-04-02 17:37:50.145318
T148980,Branch 4,Delhi,2218.21,Deposit,Success,2025-04-01 01:11:25.996692
T579308,Branch 4,Delhi,3051.1,Withdrawal,Success,2025-04-02 17:04:52.410411
T205114,Branch 4,Delhi,2635.47,Withdrawal,Failed,2025-04-05 12:49:49.358033
T381721,Branch 4,Delhi,,Transfer,Success,2025-04-02 17:22:41.155202
T576417,Branch 4,Delhi,1221.29,Failed,Success,
,Branch 4,Delhi,761.57,Transfer,Failed,2025-04-04 08:01:24.423068
T325326,Branch 4,Delhi,4568.2,Deposit,Success,2025-04-05 02:47:59.212779
T997944,Branch 4,Delhi,,Transfer,Success,2025-04-05 17:49:28.530436
,Branch 4,Delhi,1728.18,Withdrawal,Success,2025-04-05 05:01:38.959964
,Branch 4,Delhi,1642.42,Transfer,Failed,2025-04-02 02:28:27.415736
T976251,Branch 4,Delhi,448.03,Deposit,Success,2025-04-05 04:58:33.055701
T125616,Branch 4,Delhi,2247.66,Deposit,Failed,
T739980,Branch 4,Delhi,2861.73,,Success,2025-04-07 15:12:58.952319
T879608,Branch 4,Delhi,1631.76,Transfer,Success,2025-04-01 10:43:59.466901
T520112,Branch 4,Delhi,4379.27,,Success,2025-04-06 00:47:52.821236
T821782,Branch 4,Delhi,1765.18,Transfer,Success,
T849453,Branch 4,Delhi,831.46,Transfer,Failed,2025-04-06 03:32:38.338587
T225250,Branch 4,Delhi,650.49,Withdrawal,Failed,2025-04-04 18:27:23.924003
T722646,Branch 4,Delhi,1795.25,Deposit,Success,2025-04-06 23:18:46.810557
T583355,Branch 4,Delhi,4671.22,Transfer,Success,2025-04-03 13:48:51.182618
T884704,Branch 4,Delhi,2637.97,,Failed,2025-04-05 11:55:12.408441
T956105,Branch 4,Delhi,2677.66,Failed,Failed,2025-04-06 12:15:52.263824
,Branch 4,Delhi,3771.04,Failed,Failed,2025-04-02 13:49:18.372374
T774870,Branch 4,Delhi,1776.56,Deposit,Success,2025-04-07 14:01:58.605314
T501406,Branch 4,,1407.29,Failed,Failed,2025-04-07 15:52:32.943570
T319638,Branch 4,Delhi,2866.35,Deposit,Failed,2025-04-04 20:01:15.838137
T369099,Branch 4,Delhi,3519.52,Withdrawal,Failed,2025-04-01 11:54:30.578600
T934614,Branch 4,Delhi,3266.9,Failed,Success,2025-04-05 23:16:25.988913
T440594,Branch 4,Delhi,3880.9,Withdrawal,Failed,2025-04-07 16:21:28.086966
T664778,Branch 4,Delhi,3705.02,,Failed,2025-04-01 08:05:18.418757
T748342,Branch 4,Delhi,2342.85,Transfer,Success,2025-04-04 16:44:06.888260
T709288,Branch 4,Delhi,4812.48,Deposit,Failed,2025-04-01 02:29:43.670001
T297082,Branch 4,Delhi,624.65,Failed,Failed,2025-04-03 18:43:41.333016
T552480,Branch 4,Delhi,,Failed,Success,2025-04-03 03:34:38.650492
T246635,Branch 4,Delhi,3115.82,Failed,,2025-04-07 22:54:27.179678
,Branch 4,Delhi,4027.66,Failed,Success,2025-04-03 02:21:47.411775
T416523,Branch 4,Delhi,4556.63,Failed,Success,2025-04-03 06:53:39.227796
T827055,Branch 4,Delhi,3000.79,Failed,Failed,2025-04-05 21:50:18.166565
T206481,Branch 4,Delhi,3557.99,Transfer,Success,2025-04-01 00:05:29.228319
T370148,Branch 4,Delhi,3500.6,,Failed,2025-04-01 20:47:01.099845
T905948,Branch 4,Delhi,,Deposit,Success,2025-04-03 13:01:44.216570
T349401,Branch 4,Delhi,1093.72,Deposit,Failed,2025-04-03 13:29:03.057384
T483426,Branch 4,Delhi,4449.31,Withdrawal,Failed,2025-04-02 22:28:02.227497
T170792,Branch 4,Delhi,648.16,Failed,Success,2025-04-07 06:02:40.512909
