txn_id,branch,city,amount,transaction_type,status,timestamp
T148690,Branch 4,Mumbai,3793.9,Failed,Success,2025-04-04 03:40:40.718540
T614524,Branch 4,Mumbai,3329.47,Deposit,,2025-04-07 11:53:50.105043
T995315,Branch 4,Mumbai,2416.6,Withdrawal,Failed,2025-04-07 11:39:49.623281
T561886,Branch 4,Mumbai,4376.78,Withdrawal,Success,2025-04-01 14:19:46.179484
T326911,Branch 4,Mumbai,4945.77,Transfer,Success,2025-04-05 16:49:21.669059
T332008,Branch 4,Mumbai,4061.9,,Failed,
T614344,Branch 4,Mumbai,4673.71,Withdrawal,Failed,2025-04-06 14:37:40.990071
T845640,Branch 4,Mumbai,725.08,Failed,Success,2025-04-06 05:56:30.955139
T701618,Branch 4,Mumbai,3250.18,Deposit,Failed,2025-04-03 12:21:24.372010
T241912,Branch 4,Mumbai,1863.68,Transfer,Success,2025-04-01 14:41:07.281167
T909596,,Mumbai,344.91,Deposit,Success,2025-04-02 10:59:08.919301
T174167,Branch 4,Mumbai,1579.21,Transfer,Success,2025-04-05 01:20:25.154382
T362909,Branch 4,Mumbai,,Failed,Failed,2025-04-01 17:25:08.322158
T130285,Branch 4,Mumbai,2111.75,Withdrawal,Failed,2025-04-07 00:47:44.849423
T138113,Branch 4,Mumbai,4792.91,Failed,Failed,2025-04-02 02:28:40.365776
T691188,Branch 4,Mumbai,,Failed,Success,2025-04-04 02:16:44.982048
T210650,Branch 4,Mumbai,392.21,Transfer,Success,2025-04-06 22:34:35.950370
T428807,Branch 4,Mumbai,508.5,Deposit,Success,2025-04-01 22:01:18.712843
T200563,Branch 4,Mumbai,1960.58,Failed,Failed,2025-04-02 16:16:28.826087
T184969,Branch 4,Mumbai,3243.98,Failed,Failed,
,Branch 4,Mumbai,2216.35,Withdrawal,,2025-04-05 06:25:15.665876
T675279,Branch 4,Mumbai,432.27,Withdrawal,Failed,2025-04-04 20:07:56.470613
T209661,Branch 4,Mumbai,1578.99,Withdrawal,Success,2025-04-01 00:07:14.686695
T962019,Branch 4,,,Failed,Success,2025-04-03 18:26:57.003002
T467369,Branch 4,Mumbai,4204.62,,Failed,2025-04-03 02:14:16.947683
,Branch 4,Mumbai,3787.63,Failed,,2025-04-03 07:27:28.967021
T576954,Branch 4,Mumbai,3620.96,,Success,2025-04-05 22:42:07.281895
T156801,Branch 4,Mumbai,,Deposit,Success,2025-04-05 18:31:04.391776
,Branch 4,Mumbai,4588.68,Transfer,Failed,2025-04-01 16:28:26.159277
T623791,,Mumbai,2518.48,Deposit,Success,2025-04-06 16:56:51.582319
T238883,Branch 4,Mumbai,,Failed,Success,2025-04-03 04:51:16.600397
,Branch 4,Mumbai,1790.43,Failed,Success,2025-04-01 02:53:17.437417
T351158,Branch 4,Mumbai,3857.48,Failed,Success,2025-04-06 17:16:00.423559
T767811,Branch 4,Mumbai,388.35,Deposit,Success,2025-04-06 11:22:30.864835
T780391,Branch 4,Mumbai,3243.99,Transfer,Failed,2025-04-05 18:25:19.274966
T831010,Branch 4,Mumbai,4944.72,Deposit,,2025-04-02 16:22:29.797270
T831661,Branch 4,Mumbai,993.69,Withdrawal,,2025-04-05 13:22:54.070212
T982609,Branch 4,Mumbai,3801.58,Withdrawal,Failed,2025-04-06 01:58:57.172887
T243245,Branch 4,Mumbai,225.82,Failed,Failed,2025-04-04 14:29:08.931260
,Branch 4,Mumbai,2459.68,Deposit,Failed,2025-04-03 09:42:38.523323
T259929,Branch 4,Mumbai,,Failed,Success,2025-04-05 01:53:18.176123
T444083,Branch 4,Mumbai,2741.99,Failed,Failed,2025-04-02 14:31:39.075292
T635043,Branch 4,Mumbai,4234.1,Withdrawal,Success,2025-04-06 10:46:04.841735
T445572,Branch 4,Mumbai,1581.35,Transfer,Success,2025-04-01 05:23:17.121053
T149397,Branch 4,Mumbai,3597.1,Withdrawal,Failed,2025-04-02 14:01:11.714870
T869734,Branch 4,Mumbai,4190.17,Withdrawal,Failed,2025-04-02 04:53:12.893594
,Branch 4,Mumbai,937.17,Transfer,Failed,2025-04-01 12:52:15.243210
T176355,Branch 4,Mumbai,3562.71,Transfer,Success,2025-04-05 19:40:25.899256
T625655,Branch 4,Mumbai,2671.31,Failed,Success,2025-04-06 07:13:26.302998
T162318,Branch 4,Mumbai,4622.26,Transfer,Failed,2025-04-07 05:40:46.562126
T935053,Branch 4,Mumbai,4430.35,Transfer,Failed,2025-04-06 07:12:52.616611
T256813,Branch 4,Mumbai,3645.16,Transfer,Success,2025-04-05 15:04:14.051443
T618152,Branch 4,Mumbai,4595.54,Deposit,Success,2025-04-01 18:22:44.140344
T574924,Branch 4,Mumbai,819.94,Deposit,Failed,2025-04-04 23:48:42.410778
T275093,Branch 4,Mumbai,2829.31,,Failed,2025-04-06 07:21:41.356536
T311071,Branch 4,Mumbai,4051.4,Failed,,2025-04-04 17:12:43.361191
T862083,,Mumbai,1420.16,,Success,2025-04-06 05:56:27.084685
T752827,Branch 4,Mumbai,,Transfer,,2025-04-07 03:19:03.495117
T994425,Branch 4,Mumbai,2470.91,Withdrawal,,2025-04-03 19:39:13.738214
T998023,Branch 4,Mumbai,4013.61,Withdrawal,Failed,2025-04-07 03:48:34.948433
T180883,,Mumbai,948.69,Withdrawal,Failed,2025-04-04 04:32:46.990820
T761839,Branch 4,Mumbai,4155.32,,Success,2025-04-06 08:51:08.190889
T391200,Branch 4,Mumbai,3820.82,Withdrawal,Success,2025-04-04 19:24:24.329813
T266508,Branch 4,Mumbai,2245.38,Deposit,Success,2025-04-06 18:09:26.191280
T564958,Branch 4,Mumbai,4047.51,Withdrawal,Success,2025-04-02 01:07:23.781521
T370010,Branch 4,Mumbai,2800.48,Deposit,Success,2025-04-02 11:55:13.753692
T961858,Branch 4,Mumbai,1589.77,Transfer,Success,2025-04-04 23:11:51.794283
T472085,Branch 4,Mumbai,479.87,Withdrawal,Failed,2025-04-03 19:34:24.524513
T734911,Branch 4,Mumbai,2192.25,Deposit,Success,2025-04-05 01:32:58.239707
T154042,Branch 4,Mumbai,1563.93,,Success,2025-04-07 11:48:02.621331
T434149,Branch 4,Mumbai,2946.31,Failed,Failed,2025-04-02 22:30:20.899246
,Branch 4,Mumbai,2100.04,Withdrawal,Failed,2025-04-01 11:20:38.576733
T815648,Branch 4,Mumbai,4123.04,,Success,2025-04-06 20:38:26.393456
T858479,Branch 4,Mumbai,4863.65,Transfer,Failed,2025-04-03 21:10:56.728235
T328016,Branch 4,Mumbai,257.09,,Success,
